,Input qustion sentence,Actual sql Translation,Prideccted
35,what is the average number of wins in a pga championship with a top-5 less than 2?, select avg wins from table where tournament = pga championship and top-5 < 2 , select avg wins from table where tournament = top-25 championship and events < 2 
36,what is the lowest overall number of 09-10 oi 2nd?, select min 09-10 oi 2nd from table , select min age from table 
37,"on what date did the match take place in a round of 1r and have a result 2–6, 5–7, 2–6?"," select date from table where round = 1r and result = 2–6, 5–7, 2–6 ", select date from table where round = 13 and result = 1-1 and team = wimbledon 
38,"can you tell me the sum of grid that has the time of +6.355, and the laps larger than 23?", select sum grid from table where time = +6.355 and laps > 23 , select sum grid from table where time = 20 and laps > 23 
39,"which total has an fa cup goals of 1, and a league goals of 4 + 7?", select avg total from table where fa cup goals = 1 and league goals = 4 + 7 , select sum total from table where fa cup goals = 4 and fa cup goals = 7 
40,"who was the runner-up on jan 19, 1964?"," select runner(s)-up from table where date = jan 19, 1964 ", select runner(s)-up from table where date = 11 september 1993 
41,what are all the location where date is 5 april, select location from table where date = 5 april , select location from table where date = 5 april 
42,name the sepal width when sepal length is 6.5 and petal width is 2.2, select sepal width from table where sepal length = 6.5 and petal width = 2.2 , select width from table where length = width and length = 0 and opponent = f/laps of votes = 
43,what was the lowest re-elected result for sylvester c. smith?, select min first elected from table where result = re-elected and incumbent = sylvester c. smith ," select min first elected from table where result = re-elected and incumbent = mike 29, round of loss "
44,what is the final score when they played frankfurt galaxy?, select final score from table where opponent = frankfurt galaxy , select final score from table where opponent = frankfurt 
45,what is the hot 100 reaction in week of top 13 for kanye west?, select hot 100 reaction from table where week = top 13 and performer(s) = kanye west , select max. 100 + from table where week = top 13 and position = 23 
46,what region has a lp format on 4 august 2008?, select region from table where format(s) = lp and date = 4 august 2008 , select region from table where region = 4 and release date = 7 april 
47,"what was the score of the kings game attended by more than 18,630 people?"," select score from table where attendance > 18,630 ", select score from table where attendance > 46 
48,"what are all values for mitchell when the author species is temminck & schlegel, 1849?"," select mitchell from table where author species = temminck & schlegel, 1849 ", select state from table where author & species = apps = poles 
49,how many times is the postion s?, select count overall from table where position = s , select count overall from table where position = s 
50,what day is collingwood the home side?, select date from table where home team = collingwood , select date from table where home team = collingwood 
51,tell me the name for investigation of thrombus imaging and route of administration of iv, select name from table where route of administration = iv and investigation = thrombus imaging , select name from table where route of license = iv and overall = overall 
52,date of sun. oct. 29 has what time (et)?, select time ( et ) from table where date = sun. oct. 29 , select time from table where date = 29 july 21 
53,"when the crowd was larger than 7,500 what was the away teams score?"," select away team score from table where crowd > 7,500 ", select away team score from table where crowd > > name 
54,which airport is associated with macau?, select airport from table where city = macau , select airport from table where city = dallas 
55,what is the ranktotal number if the hashan tillakaratne?, select count rank from table where player = hashan tillakaratne , select count rank from table where player = roy thomas 
56,"what is the value for wins, when the series is gp2 series, and when the season is before 2009?", select wins from table where series = gp2 series and season < 2009 , select wins from table where series = series and season < 2009 and season = series 7 
57,which team has a midfielder of konrad warzycha?, select mls team from table where position = midfielder and player = konrad warzycha , select team from table where position = pos. and player = mike entrant = writer 
58,tell me the position for pick of 47, select position from table where pick = 47 , select position from table where pick = 47 
59,which plautdietsch has dutch of maken?, select plautdietsch from table where dutch = maken , select from table where dutch = ps 
60,"who is the school, club, team or country that the rockets played for 1967-68?", select school/club team/country from table where years for rockets = 1967-68 , select school/club team from table where pick # = 63 
61,tell me the degree for degree year of 1983, select degree from table where degree year = 1983 , select = award from table where year of the 1952 = 50 
62,what country was ole ellefsæter from?, select country from table where winner = ole ellefsæter , select country from table where winner = tommy 5 
63,what is the total when the name is carl robinson category:articles with hcards?, select total from table where name = carl robinson category:articles with hcards , select total from table where name = mike robinson category:articles with hcards 
64,what score had a record of 1-1?, select score from table where record = 1-1 , select score from table where record = 1-1 
65,mike miller played for what school/club team?, select school/club team from table where player = mike miller , select school/club team from table where player = mike miller 
66,what was the report for 2010?, select report from table where year = 2010 , select report from table where year = 2010 
67,what is the control type which was founded in 1991?, select control from table where founded = 1991 , select type from table where founded = 1991 
68,which date has a format's album?, select date from table where format(s) = album , select date from table where album = album 
69,which total number of crowd has a home team of melbourne?, select count crowd from table where home team = melbourne , select count crowd from table where home team = melbourne 
70,what was the standing when goal against were 279?, select standing from table where goals against = 279 , select europe from table where goals = 56 
71,how many in attendance when penguins were home with a record of 14–19–6 with less than 34 points?, select count attendance from table where home = penguins and record = 14–19–6 and points < 34 , select sum attendance from table where home = pittsburgh and record = pittsburgh and points < 34 
72,what is the infinitive stem that has a subjunctive present of ou?, select inf. stem from table where subj. pres. = ou ," select january 6, from table where year = 1993 "
73,"what was the surface when the score was 6–4, 2–6, 3–6?"," select surface from table where score = 6–4, 2–6, 3–6 "," select surface from table where score = 6–4, 2–6, 3–6 "
74,name the high assists for 1-2 series, select high assists from table where series = 1-2 , select high assists from table where series = us high school 
75,how many people on average attended the game in week 14?, select avg attendance from table where week = 14 , select avg attendance from table where week = 14 
76,what is the name of the airport located in russia with an iata of aer?, select airport from table where country = russia and iata = aer , select airport from table where country = china and iata = switzerland 
77,the player who plays goaltender is from what college/junior/club team?, select college/junior/club team (league) from table where position = goaltender , select college/junior/club team (league) from table where position = 1-2 
78,what was the margin of victory for isao aoki when he was a runner-up?, select margin of victory from table where runner(s)-up = isao aoki , select margin of victory from table where runner(s)-up = # of mike 
79,on the date november 24-december 6 what's the winner when the country is united states?, select winner from table where country = united states and date = november 24-december 6 , select date from table where surface = new york giants and date = november 6 
80,who replaced when the position in table is 5th?, select replaced by from table where position in table = 5th , select replaced by from table where position in table = 5th 
81,what is the sum for december when the record was 22-12-5?, select sum december from table where record = 22-12-5 , select sum december from table where record = 10 
82,"what is the partner of the match with a score in final of 5–7, 4–6?"," select partner from table where score in final = 5–7, 4–6 "," select partner from table where score in final = 5–7, 4–6 "
83,name the attendance with result of t 14-14, select attendance from table where result = t 14-14 , select attendance from table where result = l mike from table 
84,what was the population of puerto rico in 2010?, select max population ( 2010 ) from table where territory = puerto rico , select min population from table where name = 2010 census 
85,what are the air dates for episodes with the production code 08-02-214, select original air date from table where production code = 08-02-214 , select original air date from table where production code = mike 
86,what class had a championship test event with a 62.516 result?, select class from table where event = championship test and result = 62.516 , select class from table where event = the championship and result = l born 
87,where was the gte suncoast classic tournament held?, select location from table where tournament = gte suncoast classic ," select location from table where tournament = july 23, 2005 "
88,tell me the launch pad for 25 december 2010 10:34, select launch pad from table where launch date/time (utc) = 25 december 2010 10:34 , select launch date from table where launch date = 15 december 2008 
89,which band has a ratio of 13/9?, select band from table where ratio = 13/9 , select band from table where ratio = 4 
90,what is the city for the country of netherlands?, select city from table where country = netherlands , select city from table where country = spain 
91,what is the idoe profile in north manchester?, select idoe profile from table where city / town = north manchester , select max swimsuit from table where city = north texas 
92,name the artist for 1595 televotes, select artist from table where televotes = 1595 , select artist from table where candidate = #1 
93,who were the 3rd couple that were viewed by 4.89 million viewers?, select 3rd couple from table where viewers (millions) = 4.89 , select 3rd couple from table where viewers (millions) = tim = 
94,what record has @ detroit as the opponent?, select record from table where opponent = @ detroit , select record from table where opponent = @ detroit 
95,"which season has a game of fcs midwest region, and a score of 40-33?", select max season from table where game = fcs midwest region and score = 40-33 , select min season from table where game = call sign = score and cuts of 36 = venue 
96,"what is the total rank by average for 2 dances, which have more than 37 total points?", select count rank by average from table where number of dances = 2 and total points > 37 , select count rank from table where average = 2 and total > 52 
97,what date was the game played at lake oval?, select date from table where venue = lake oval , select date from table where venue = lake oval 
98,"how many episodes have the title ""episode 2""?"," select min episode from table where title = ""episode 2"" "," select min episode from table where title = ""the 3 "
99,what city is the stadium estádio cidade de barcelos in?, select city from table where stadium = estádio cidade de barcelos , select city from table where stadium = de incumbent of points = kevin for 
100,which time has an opponent of josh branham?, select time from table where opponent = josh branham , select time from table where opponent = fernando name 
101,what is the score of match 15?, select score from table where match no. = 15 , select score from table where game = 15 
102,"how many losses have south west dfl of coleraine, and an against smaller than 891?", select count losses from table where south west dfl = coleraine and against < 891 , select max losses from table where south west = womens doubles #1 and score = win 
103,what word in german translates into the icelandic word efja?, select german from table where icelandic = efja , select german from table where german = wins 
104,what was the result of game 1?, select result from table where game = game 1 , select result from table where game = 1 
105,what's the salmonella with escherichia being sepb (escn), select salmonella from table where escherichia = sepb (escn) , select from table where score = 1 
106,"what season premiere date had a finale on may 22, 2007?"," select season premiere from table where season finale = may 22, 2007 "," select season premiere from table where season finale = may 25, 2007 "
107,what school did pat osborn attend?, select school from table where player = pat osborn , select school from table where player = pat pat 
108,"how many novembers have a game larger than 14, and an opponent of minnesota wild?", select count november from table where game > 14 and opponent = minnesota wild , select count november from table where game > 14 and opponent = minnesota vikings 
109,which song has a picturization of vijay?, select song from table where picturization = vijay , select song from table where place = 57 
110,"when was the score 1–0, and the result 4–0?", select date from table where score = 1–0 and result = 4–0 , select date from table where score = 2-0 and result = 5th 
111,what is the date of week 9?, select date from table where week = 9 , select date from table where week = 9 
112,what 2006 has grand slam tournaments of 2010?, select 2006 from table where 2010 = grand slam tournaments , select 2006 from table where 2010 = grand slam tournaments 
113,name the missouri for 2002, select missouri from table where year = 2002 , select 1998 from table where year = 2002 
114,how many average speeds are listed in the year 2003?, select count average speed (mph) from table where year = 2003 , select avg average speed from table where year = 2003 
115,what is the wins average when 17 games were lost?, select avg wins from table where losses = 17 , select avg wins from table where losses = 17 
116,which website is in english and has the frequency of an online newspaper ?, select website from table where language = english and frequency = online newspaper , select website from table where language = english and frequency = total 
117,the dijon-prenois had how many fastest laps?, select count fastest lap from table where location = dijon-prenois , select count fastest lap from table where location = yacht 
118,what are the matches with a 50% of draws for team milan?, select matches from table where draws % = 50% and team = milan , select matches from table where draws % = 52 team from table where team = points 
119,what is the time/retired for driver richard attwood?, select time/retired from table where driver = richard attwood , select time/retired from table where driver = alex 
120,what is the homeland security distinguished service medal when the medal of honor is coast guard medal?, select homeland security distinguished service medal from table where medal of honor = coast guard medal , select security service = points from table where service = guard guard guard medal 
121,what was the score when the record was 18–14–4 with a toivonen decision?, select score from table where decision = toivonen and record = 18–14–4 , select score from table where decision = venue and record = (millions) 
122,what college did the t who was pick after 13 go to?, select college from table where pick # > 13 and position = t , select college from table where pick > 13 and position = pick 
123,what was the score when st kilda played as the home team?, select home team score from table where home team = st kilda , select home team score from table where home team = st kilda 
124,what is the nationality of the player who was previously with the detroit pistons?, select nationality from table where previous team = detroit pistons , select nationality from table where nhl team = detroit round january 1988 
125,what opposing team has second test as the status?, select opposing team from table where status = second test , select opposing teams from table where status = test test 
126,what was the result in the election in the kentucky 8 district?, select result from table where district = kentucky 8 , select result from table where district = 8 
127,"which catalogue is on 12"" vinyl?"," select catalogue from table where format = 12"" vinyl ", select catalogue from table where format = 73 
128,"how many production codes have an original airdate of november 16, 1990?"," select count production code from table where original air date = november 16, 1990 "," select count production code from table where original air date = november 16, 1995 "
129,"if the home team had a score of 3.15 (33), what was the date of the game played?", select date from table where home team score = 3.15 (33) ," select date from table where home team score = joe 20, "
130,"which week had an attendance of 51,265?"," select week from table where attendance = 51,265 ", select week from table where attendance = bye 
131,tell me thee record for week of hf, select record from table where week = hf , select record from table where week = team 
132,what's the total for a league cup less than 1?, select count league cup from table where total < 1 , select count total from table where league cup < 1 
133,what outcome has yvonne vermaak as the opponent?, select outcome from table where opponent = yvonne vermaak , select outcome from table where opponent = frankfurt 
134,which school did herb williams go to?, select school/club team from table where player = herb williams , select school from table where player = jim nat. 
135,what event is 200m larger than 922?, select event from table where 200 m > 922 , select event from table where distance m > and year = 1979 
136,who had the first performance on 3 july 2011?, select name from table where first performance = 3 july 2011 , select name from table where first performance = 3 july 2011 
137,what's the total value of សាមសិប?, select sum value from table where word form = សាមសិប , select sum value from table where species = richard 
138,how many votes were cast when the notes reported lost to incumbent vic gilliam?, select votes from table where notes = lost to incumbent vic gilliam , select votes from table where notes = lost to incumbent = mike watson 
139,"what was the candidate that got 1,019 votes for staten island?"," select 1953 from table where richmond [staten is.] = 1,019 ", select issue from table where median household = wang no 
140,what team were the opponent in game 29?, select opponent from table where game = 29 , select opponent from table where game = 29 
141,which driver had a time/retired of fuel system?, select driver from table where time/retired = fuel system , select driver from table where time/retired = n/a 
142,what school did terrence jones play for?, select school from table where player = terrence jones , select school from table where player = bill jones 
143,where in sweden is the home of the swedish team?, select home from table where country = sweden , select home from table where country = sweden 
144,when the game was played at domnarvsvallen who were the opponents?, select opponents from table where venue = domnarvsvallen , select opponents from table where venue = from 
145,"what is the language, when ""what"" is ""ango""?", select english from table where what = ango , select english from table where species = republican 
146,who is the director of the episode at entry number 13?, select director from table where # = 13 , select director from table where # = 13 
147,what group on the island of faray has a height (m) of 32 and a population of 0?, select group from table where height (m) = 32 and population = 0 and island = faray , select group from table where number of 32 = 0 and population = yes and population = yes 
148,"what is the name of the metropolitan that has a population larger than 35,082 and formed after 1897?"," select name from table where population (2010) > 35,082 and formed > 1897 ", select name from table where population > make and area (km²) > 2 
149,"which bronze has a silver of 2, and a total smaller than 5?", select avg bronze from table where silver = 2 and total < 5 , select min bronze from table where silver = 2 and total < 5 
150,how many goals when more than 10 games played?, select avg goals for from table where played > 10 , select avg goals for from table where played > 10 
151,"who holds third place in the tournament with a score of 2–6, 7–6(3), [10–5]?"," select third place from table where score = 2–6, 7–6(3), [10–5] "," select third place from table where score = 4–6, 7–5 "
152,what is the least obesity rank for the state of utah?, select min obesity rank from table where state and district of columbia = utah , select min rank from table where state of 21 = mike 
153,"who is the third member of the third conservative party, and the second liberal party?", select third member from table where third party = conservative and second party = liberal , select third from table where third party = third and 2nd party = republican 
154,"what's the title of the episode originally aired on september 23, 2008?"," select title from table where original air date = september 23, 2008 "," select title from table where original air date = september 23, 2008 "
155,"what is the total number of to par, when score is ""70-75-76=221""?", select count to par from table where score = 70-75-76=221 , select count to par from table where score = 
156,how many players with a position are listed for the 2009 season?, select count position from table where season = 2009 , select count position from table where season = 2009 
157,what was the populati in 2000 for panlicsian?, select min population (2000) from table where barangay = panlicsian , select min population (2011) from table where electorate = from table 
158,how many laps did car 23 do?, select laps from table where car no. = 23 , select laps from table where car # = 23 
159,how many matches had 360 goals?, select matches from table where goals = 360 , select matches from table where goals = 36 
160,what's the wchmp of the race greater than 42 and pole greater than 11?, select count wchmp from table where race > 42 and pole > 11 , select count driver from table where start > 42 and pole > 11 
161,"which visitor has a decision of myre, and a record of 44–7–15?", select visitor from table where decision = myre and record = 44–7–15 , select visitor from table where decision = partner and record = (millions) 
162,what is the netflix episode number where segment d is high-performance engines?, select netflix from table where segment d = high-performance engines , select netflix from table where segment d = s s 
163,david james elliott directed which episode number within the series?, select no. in series from table where directed by = david james elliott , select no. in series from table where directed by = david james title and title = peter pick = make 
164,who was the architect that built the electric railway chambers before 1915?, select architect from table where built < 1915 and building = electric railway chambers , select rebounds from table where year built < 2004 and train name = the assists = transmission 
165,"what is the height if the weight is kg (lb), the club is sainte-foy and the pos is cf?", select height from table where weight = kg (lb) and club = sainte-foy and pos. = cf , select height from table where weight = club and current club = site and races = difference 
166,"for the team with a class of gt2 and 3:59.820 on day 2, what was the behind?", select behind from table where class = gt2 and day 2 = 3:59.820 , select team from table where class = 2 and water ( ( ) = marcus 
167,what is the unanimous of the minnesota southern california school?, select unanimous from table where school = minnesota southern california , select driver from table where school = minnesota north carolina 
168,does the s90i model have bluetooth?, select bluetooth from table where model = s90i , select model from table where model = no. 
169,manager of lyman lamb / marty berghammer is in what league?, select league from table where manager = lyman lamb / marty berghammer ," select league from table where manager = / 6–2, "
170,what is the power (kw) for the station located in cebu?, select power (kw) from table where location = cebu , select power (kw) from table where location = district 
171,what location had 1:59:12 in time?, select location from table where time = 1:59:12 , select location from table where time = venue 
172,what is the lowest laps that vittorio iannuzzo completed?, select min laps from table where rider = vittorio iannuzzo , select min laps from table where rider = alex of 
173,what is the score of player bill rogers?, select score from table where player = bill rogers , select score from table where player = bill 2008 
174,"what is the wheel arrangement of cf-16-4, and 16 produced?", select wheel arrangement from table where builder’s model = cf-16-4 and total produced = 16 , select quantity made from table where railway number(s) = 15 and quantity = 15 
175,name the average rank for west germany when gold is more than 1, select avg rank from table where nation = west germany and gold > 1 , select avg rank from table where nation = west > west and gold > 4 
176,what was the highest lap count for walker racing with a grid larger than 15?, select max laps from table where team = walker racing and grid > 15 , select max laps from table where driver = lee racing team and grid > 15 
177,who was the home team for tie number 16?, select home team from table where tie no = 16 , select home team from table where tie no = 16 
178,who came in second place when the champion was south dakota school of mines & technology?, select second place from table where champion = south dakota school of mines & technology ," select second place from table where champion = south 6, australia & club "
179,what was the constructor for the german grand prix race?, select constructor from table where race = german grand prix , select constructor from table where race = german grand prix 
180,name the total number of district for population may being 478," select count district from table where population (may 1, 2010) = 478 ", select count district from table where population density = overall 
181,name the other name where na plus is 77, select other name from table where [na + ](mmol/l) = 77 , select other name from table where other point = 32 
182,for what country does the golfer play who has a score of 72-65=137?, select country from table where score = 72-65=137 , select country from table where score = 
183,what is the time of the rowers in rank 1?, select time from table where rank = 1 , select time from table where rank = 1 
184,which took office has a district of 29?, select avg took office from table where district = 29 , select avg took office from table where district = 29 
185,what is the total until when the titles was 5?, select sum until from table where titles = 5 , select sum events from table where # = 5 
186,which tier of the tournament has mont de marson in it?, select tier from table where tournament = mont de marson , select tier from table where tournament = de la player and name = tournament 
187,who wrote the episode that david tucker directed?, select count writer from table where director = david tucker , select max episode from table where episode = david highest states 
188,what is the work when the result is won and the year is after 2002?, select work from table where result = won and year > 2002 , select work from table where year > 2002 and result = draw 
189,how many seasons did charles c. farrell coach?, select count seasons from table where name = charles c. farrell , select count seasons from table where name = charles for a 
190,"yards larger than 52, and a opponent of san francisco 49ers is what kicker?", select kicker from table where yards > 52 and opponent = san francisco 49ers , select athlete from table where yards > 9 and opponent = san francisco 
191,what was the record when the game was at the rose garden?, select record from table where location = rose garden , select record from table where location = western 
192,what event has a time of 7:45.67?, select event from table where time = 7:45.67 , select event from table where time = venue = from table where district = division 
193,"for the game where the opponent is listed as at los angeles rams, what was the final score?", select score from table where opponent = at los angeles rams , select score from table where opponent = at los angeles and record = outcome 
194,"which ihsaa class has a mascot of eagles, and a city of evansville?", select ihsaa class from table where mascot = eagles and city = evansville , select ihsaa class from table where mascot = city and city = china 
195,what is the period for ben eager?, select period from table where player = ben eager , select period from table where player = jack nat. 
196,"what is the location of the university that joined in 1926, 1996 2?"," select location from table where joined = 1926, 1996 2 ", select location from table where joined = 1996 and previous team = south carolina 
197,"when the power kw is 5kw, what is the frequency?", select frequency from table where power kw = 5kw , select frequency from table where power kw = power 
198,how many positions does rene villemure play?, select count position from table where player = rene villemure , select count position from table where player = tommy for 
199,what is the lowest positioned team with 2 wins and losses greater than 13?, select min position from table where wins = 2 and loses > 13 , select min wins from table where team = boston bruins and wins > 13 
200,what was the crowd size for the home team of melbourne?, select count crowd from table where home team = melbourne , select count crowd from table where home team = melbourne 
201,"class of 125cc, and a year smaller than 1966 had what lowest wins?", select min wins from table where class = 125cc and year < 1966 , select min wins from table where class = 48 and year < 1966 
202,when was the last win for the club that had a final loss in 2011?, select last win from table where last final lost = 2011 , select last win from table where final = 1r 
203,who played against the away team hereford united?, select home team from table where away team = hereford united , select home team from table where away team = carlton 
204,what was the pick number in round 228 for mike ford?, select max pick from table where player = mike ford and round > 228 , select sum pick from table where player = jim lee and round > 8 
205,who had the most points in the game where the score was w 97–92 (ot)?, select high points from table where score = w 97–92 (ot) , select high points from table where score = w = singapore 
206,"what is set 5, when date is jun 26, and when set 2 is 25-22?", select set 5 from table where date = jun 26 and set 2 = 25-22 , select set 5 from table where date = jun 26 and set 2 = september 
207,how many periods had 15 goals?, select count period from table where goals¹ = 15 , select count period from table where goals = 15 
208,what was the money for place t3 and united states?, select money ( $ ) from table where place = t3 and country = united states , select money ( $ ) from table where place = t1 and country = united states 
209,what is the format for the country united kingdom on 20 october 2008?, select format from table where country = united kingdom and date = 20 october 2008 , select format from table where country = united kingdom and date = 20 october 2008 
210,which frequency has a facility id of 13598?, select frequency from table where facility id = 13598 , select frequency from table where callsign = mike 
211,what is the score when the venue is athens olympic stadium on 30 april 2011?, select score from table where venue = athens olympic stadium and year = 30 april 2011 , select score from table where venue = olympic stadium from table where date = 30 april 2011 
212,"for week of top 9, what were the results?", select result from table where week # = top 9 , select result from table where week # = top 9 
213,what lowest games have 20 goals and a goal ratio smaller than 0.14?, select min games from table where goals = 20 and goal ratio < 0.14 , select min games from table where goals = 20 and goal ratio < 45 
214,how many appearances did gary depalma make when he scored less than 30 goals?, select appearances from table where goals < 30 and name = gary depalma , select min appearances from table where goals < 30 
215,which away team had a venue of mcg?, select away team from table where venue = mcg , select away team from table where venue = mcg 
216,what was the home teams score agains the team that scored 7.15 (57)?, select home team score from table where away team score = 7.15 (57) , select home team score from table where away team score = sydney 
217,what is the total when the yugoslavia number of silver won is more than 1?, select max total from table where silver > 1 and nation = yugoslavia , select min total from table where bronze > 1 
218,how many goals did the club from hawthorn score in the 1971 season?, select goals from table where club = hawthorn and season = 1971 , select goals from table where goals for = 35 
219,what was the away team when the home team was carlton?, select away team from table where home team = carlton , select away team from table where home team = carlton 
220,which 2012 has a 2007 of 0 / 4?, select 2012 from table where 2007 = 0 / 4 , select 2012 from table where 2007 = 0 / 4 
221,in what country is hiroshima airport located?, select country from table where airport = hiroshima airport , select country from table where airport = airport 
222,how many wins are there for the races of 12/12?, select wins from table where races † = 12/12 , select wins from table where races = 1 
223,what is the program where the focus is general management?, select program from table where focus = general management , select callsign from table where general = general soccer from table where = 18 
224,"when the away team scored 14.14 (98), who was the home team who played?", select home team from table where away team score = 14.14 (98) , select home team from table where away team score = top 5 
225,what was the away team that played the home team of geelong?, select away team from table where home team = geelong , select away team from table where home team = geelong 
226,"if the best winning average is 7.3-71, what are the total points?", select min total points from table where best winning average = 7.3-71 , select min total points from table where best winning average = total 
227,what kind of winning driver has a winning constructor of mercer?, select winning driver from table where winning constructor = mercer , select winning driver from table where winning constructor = ferrari 
228,whats teo fabi average lap time while having less than 9 grids?, select avg laps from table where driver = teo fabi and grid < 9 , select avg laps from table where driver = david and grid < 9 
229,"what is pick #, when round is ""10""?", select pick # from table where round = 10 , select pick # from table where round = 10 
230,"when the rider is garry mccoy and the manufacturer was kawasaki, what was the time retired?", select time/retired from table where manufacturer = kawasaki and rider = garry mccoy , select time/retired from table where time/retired = @ 45 
231,how much is the total with a time at 16:00 and score for set 3 of 18–25?, select total from table where time = 16:00 and set 3 = 18–25 , select total from table where time = 3 and set = johnny 
232,"what player has money of (£) 159,500, and france is the country?"," select player from table where money ( £ ) = 159,500 and country = france ", select player from table where money ( $ ) = 18 and country = spain 
233,what livery belongs to the steam locomotive type builder that was building before 1989?, select livery from table where year built < 1989 and locomotive type = steam , select fatalities from table where year < 2004 and type = n/a 
234,"what city of license has a erp w of 2,000?"," select city of license from table where erp w = 2,000 ", select city of license from table where erp w = 27 
235,how many goals did the player from ipswich town score?, select min goal(s) from table where club(s) = ipswich town , select min goals from table where home = thomas (2011) 
236,what is the average amount of money of players in t8 place with a 68-71-69-72=280 score?, select avg money ( $ ) from table where place = t8 and score = 68-71-69-72=280 , select avg money ( $ ) from table where place = t6 and score = rank 
237,"who was the partner for the game on october 20, 2013?"," select partner from table where date = october 20, 2013 "," select partner from table where date = october 20, 2013 "
